hour,temperature
09:00,18.41269841269841
10:00,20.31746031746032
11:00,21.666666666666668
12:00,23.17460317460317
13:00,24.28571428571429
14:00,25.0
15:00,25.158730158730158
16:00,24.92063492063492
17:00,24.365079365079364
18:00,24.20634920634921
19:00,23.571428571428573
20:00,21.984126984126988
21:00,20.31746031746032
22:00,18.968253968253972
23:00,17.93650793650794
00:00,17.38095238095238
01:00,16.984126984126984
02:00,16.58730158730159
03:00,16.42857142857143
04:00,16.428571428571427
05:00,16.11111111111111
06:00,15.634920634920636
07:00,15.396825396825397
08:00,16.42857142857143
