hour,temperature
2019-07-04 00:00,18.88888888888889
2019-07-04 01:00,20.0
2019-07-04 02:00,19.444444444444446
2019-07-04 03:00,19.444444444444446
2019-07-04 04:00,17.77777777777778
2019-07-04 05:00,18.88888888888889
2019-07-04 06:00,18.333333333333336
2019-07-04 07:00,17.77777777777778
2019-07-04 08:00,17.77777777777778
2019-07-04 09:00,20.555555555555557
2019-07-04 10:00,18.88888888888889
2019-07-04 11:00,20.0
2019-07-04 12:00,23.88888888888889
2019-07-04 13:00,21.666666666666668
2019-07-04 14:00,23.88888888888889
2019-07-04 15:00,26.666666666666668
2019-07-04 16:00,25.555555555555557
2019-07-04 17:00,28.88888888888889
2019-07-04 18:00,26.11111111111111
2019-07-04 19:00,26.11111111111111
2019-07-04 20:00,23.333333333333336
2019-07-04 21:00,21.666666666666668
2019-07-04 22:00,20.555555555555557
2019-07-04 23:00,19.444444444444446
